"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 03 15:31:35 GMT 2024","Sat Aug 03 15:31:39 GMT 2024","3849","","","","","","Create product and verify the details",""
"passed","Sat Aug 03 15:31:43 GMT 2024","Sat Aug 03 15:31:47 GMT 2024","3439","","","","","","Edit Product and verify if its updated",""
"passed","Sat Aug 03 15:31:42 GMT 2024","Sat Aug 03 15:31:45 GMT 2024","2643","","","","","","Create product and verify the details (UI Scope)",""
"passed","Sat Aug 03 15:31:37 GMT 2024","Sat Aug 03 15:31:37 GMT 2024","253","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Sat Aug 03 15:31:48 GMT 2024","Sat Aug 03 15:31:48 GMT 2024","11","","","","","","Delete Product and verify it (API Scope)",""
"passed","Sat Aug 03 15:31:37 GMT 2024","Sat Aug 03 15:31:37 GMT 2024","18","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Sat Aug 03 15:31:45 GMT 2024","Sat Aug 03 15:31:48 GMT 2024","2618","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Sat Aug 03 15:31:35 GMT 2024","Sat Aug 03 15:31:36 GMT 2024","1356","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Sat Aug 03 15:31:39 GMT 2024","Sat Aug 03 15:31:43 GMT 2024","3969","","","","","","Delete Product and verify it",""
"passed","Sat Aug 03 15:31:40 GMT 2024","Sat Aug 03 15:31:42 GMT 2024","1024","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Sat Aug 03 15:31:37 GMT 2024","Sat Aug 03 15:31:37 GMT 2024","14","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Sat Aug 03 15:31:42 GMT 2024","Sat Aug 03 15:31:42 GMT 2024","17","","","","","","Create product and verify the details (API Scope)",""
